SOLAR_RADIATION,PRECIPITATION,WIND_SPEED,LEAF_WETNESS,HC_AIR_TEMPERATURE,HC_RELATIVE_HUMIDITY,DEW_POINT
302.0,0.0,1.5,0.0,-2.84,0.0,0.0
379.0,0.0,2.0,0.0,-1.63,0.0,0.0
404.0,0.0,1.6,0.0,-0.63,0.0,0.0
374.0,0.0,1.4,0.0,0.16,0.0,0.0
294.0,0.0,0.6,0.0,0.99,0.0,0.0
173.0,0.0,0.1,0.0,1.56,0.0,0.0
52.0,0.0,0.0,0.0,0.91,0.0,0.0
0.0,0.0,0.0,0.0,-0.84,0.0,0.0
0.0,0.0,0.0,0.0,-2.3,0.0,0.0
0.0,0.0,0.0,0.0,-3.12,0.0,0.0
0.0,0.0,0.0,0.0,-3.96,0.0,0.0
0.0,0.0,0.0,0.0,-4.45,0.0,0.0
0.0,0.0,0.0,0.0,-4.43,0.0,0.0
0.0,0.0,0.0,0.0,-5.4,0.0,0.0
0.0,0.0,0.0,0.0,-5.0,0.0,0.0
0.0,0.0,0.0,0.0,-4.71,0.0,0.0
0.0,0.0,0.0,0.0,-5.88,0.0,0.0
0.0,0.0,0.0,0.0,-6.63,0.0,0.0
0.0,0.0,0.0,0.0,-6.97,0.0,0.0
0.0,0.0,0.0,0.0,-6.42,0.0,0.0
0.0,0.0,0.0,0.0,-5.78,0.0,0.0
0.0,0.0,0.0,0.0,-4.7,0.0,0.0
19.0,0.0,0.0,0.0,-4.14,0.0,0.0
85.0,0.0,0.1,0.0,-3.43,0.0,0.0
157.0,0.0,0.2,0.0,-2.21,0.0,0.0
239.0,0.0,0.0,0.0,-0.68,0.0,0.0
253.0,0.0,0.3,0.0,0.21,0.0,0.0
222.0,0.0,0.1,0.0,0.69,0.0,0.0
194.0,0.0,0.1,0.0,1.32,0.0,0.0
122.0,0.0,0.2,0.0,1.13,0.0,0.0
30.0,0.0,0.1,0.0,0.74,0.0,0.0
0.0,0.0,0.0,0.0,-0.37,0.0,0.0
0.0,0.0,0.0,0.0,-0.88,0.0,0.0
0.0,0.0,0.0,0.0,-1.33,0.0,0.0
0.0,0.0,0.0,0.0,-1.82,0.0,0.0
0.0,0.0,0.0,0.0,-1.56,0.0,0.0
0.0,0.0,0.0,0.0,-1.25,0.0,0.0
0.0,0.0,0.0,0.0,-1.84,0.0,0.0
0.0,0.0,0.0,0.0,-1.93,0.0,0.0
0.0,0.0,0.0,0.0,-1.31,0.0,0.0
0.0,0.0,0.0,0.0,-1.42,0.0,0.0
0.0,0.0,0.0,0.0,-2.05,0.0,0.0
0.0,0.0,0.0,0.0,-2.1,0.0,0.0
0.0,0.0,0.0,0.0,-2.16,0.0,0.0
0.0,0.0,0.0,0.0,-2.07,0.0,0.0
0.0,0.0,0.3,0.0,-2.12,0.0,0.0
37.0,0.0,0.4,0.0,-1.78,0.0,0.0
124.0,0.0,0.9,0.0,-0.42,0.0,0.0
266.0,0.0,1.4,0.0,1.18,0.0,0.0
244.0,0.0,1.2,0.0,2.56,0.0,0.0
222.0,0.0,1.0,0.0,3.56,0.0,0.0
261.0,0.0,1.2,0.0,4.39,0.0,0.0
260.0,0.0,1.3,0.0,4.9,0.0,0.0
103.0,0.0,0.2,0.0,4.01,0.0,0.0
60.0,0.0,0.6,0.0,3.81,0.0,0.0
0.0,0.0,0.0,0.0,2.23,0.0,0.0
0.0,0.0,0.3,0.0,2.47,0.0,0.0
0.0,0.0,0.1,0.0,1.84,0.0,0.0
0.0,0.0,0.0,0.0,1.29,0.0,0.0
0.0,0.0,0.2,0.0,1.76,0.0,0.0
