,SOLAR_RADIATION,PRECIPITATION,WIND_SPEED,LEAF_WETNESS,HC_AIR_TEMPERATURE,HC_RELATIVE_HUMIDITY,DEW_POINT
13082,0.0,0.0,3.6,0.0,3.74,0.0,0.0
13083,0.0,0.0,3.8,0.0,3.58,0.0,0.0
13084,21.0,0.0,4.4,0.0,3.55,0.0,0.0
13085,58.0,0.0,4.0,0.0,3.97,0.0,0.0
13086,129.0,0.0,3.0,0.0,4.84,0.0,0.0
13087,278.0,0.0,2.6,0.0,6.24,0.0,0.0
13088,281.0,0.0,3.6,0.0,6.79,0.0,0.0
13089,252.0,0.0,3.4,0.0,7.47,0.0,0.0
13090,235.0,0.0,2.1,0.0,8.49,0.0,0.0
13091,211.0,0.0,2.2,0.0,8.95,0.0,0.0
13092,154.0,0.0,2.0,0.0,9.38,0.0,0.0
13093,119.0,0.0,2.2,0.0,9.77,0.0,0.0
13094,38.0,0.0,1.8,0.0,9.08,0.0,0.0
13095,0.0,0.0,2.5,0.0,7.94,0.0,0.0
13096,0.0,0.0,2.5,0.0,6.84,0.0,0.0
13097,0.0,0.0,2.1,0.0,6.01,0.0,0.0
13098,0.0,0.0,1.6,0.0,5.67,0.0,0.0
13099,0.0,0.0,0.5,0.0,5.41,0.0,0.0
13100,0.0,0.0,0.2,0.0,4.69,0.0,0.0
13101,0.0,0.0,0.3,0.0,4.04,0.0,0.0
13102,0.0,0.0,0.3,0.0,3.65,0.0,0.0
13103,0.0,0.0,0.5,0.0,3.22,0.0,0.0
13104,0.0,0.0,0.5,0.0,3.11,0.0,0.0
13105,0.0,0.0,0.2,0.0,3.31,0.0,0.0
13106,0.0,0.0,0.0,0.0,2.83,0.0,0.0
13107,0.0,0.0,0.0,0.0,1.96,0.0,0.0
13108,33.0,0.0,0.0,0.0,3.04,0.0,0.0
13109,131.0,0.0,0.0,0.0,4.42,0.0,0.0
13110,311.0,0.0,0.3,0.0,7.63,0.0,0.0
13111,448.0,0.0,0.3,0.0,10.87,0.0,0.0
13112,550.0,0.0,0.2,0.0,12.95,0.0,0.0
13113,588.0,0.0,0.3,0.0,13.9,0.0,0.0
13114,360.0,0.0,0.3,0.0,13.81,0.0,0.0
13115,362.0,0.0,0.3,0.0,14.36,0.0,0.0
13116,300.0,0.0,0.3,0.0,14.91,0.0,0.0
13117,157.0,0.0,0.4,0.0,14.49,0.0,0.0
13118,27.0,0.0,0.0,0.0,12.9,0.0,0.0
13119,0.0,0.0,0.0,0.0,11.5,0.0,0.0
13120,0.0,0.0,0.2,0.0,10.63,0.0,0.0
13121,0.0,0.0,2.7,0.0,10.38,0.0,0.0
13122,0.0,0.0,2.9,0.0,9.69,0.0,0.0
13123,0.0,0.0,2.6,0.0,8.87,0.0,0.0
13124,0.0,0.0,2.2,0.0,8.32,0.0,0.0
13125,0.0,0.0,2.4,0.0,7.72,0.0,0.0
13126,0.0,0.0,2.5,0.0,7.12,0.0,0.0
13127,0.0,0.0,2.1,0.0,6.55,0.0,0.0
13128,0.0,0.0,1.2,0.0,5.72,0.0,0.0
13129,0.0,0.0,1.7,0.0,5.06,0.0,0.0
13130,0.0,0.0,2.6,0.0,4.44,0.0,0.0
13131,0.0,0.0,2.1,0.0,4.07,0.0,0.0
13132,23.0,0.0,2.0,0.0,3.93,0.0,0.0
13133,122.0,0.0,2.4,0.0,4.99,0.0,0.0
13134,263.0,0.0,1.7,0.0,6.34,0.0,0.0
13135,423.0,0.0,2.3,0.0,8.16,0.0,0.0
13136,440.0,0.0,2.7,0.0,10.75,0.0,0.0
13137,372.0,0.0,3.0,0.0,12.07,0.0,0.0
13138,378.0,0.0,2.2,0.0,13.48,0.0,0.0
13139,197.0,0.0,2.5,0.0,12.91,0.0,0.0
13140,141.0,0.0,3.1,0.0,12.15,0.0,0.0
13141,52.0,0.0,2.0,0.0,10.82,0.0,0.0
13142,10.0,0.0,1.9,0.0,9.48,0.0,0.0
13143,0.0,0.0,1.7,0.0,8.19,0.0,0.0
13144,0.0,0.2,1.1,0.0,6.57,0.0,0.0
13145,0.0,0.2,0.7,60.0,5.71,0.0,0.0
13146,0.0,0.0,1.4,60.0,5.25,0.0,0.0
13147,0.0,0.0,1.3,60.0,5.02,0.0,0.0
13148,0.0,0.4,0.6,60.0,4.86,0.0,0.0
13149,0.0,0.2,0.6,60.0,4.68,0.0,0.0
13150,0.0,0.2,0.5,60.0,4.53,0.0,0.0
13151,0.0,0.6,0.3,60.0,3.59,0.0,0.0
13152,0.0,0.2,0.9,60.0,2.59,0.0,0.0
13153,0.0,0.4,2.3,60.0,2.13,0.0,0.0
13154,0.0,0.2,2.1,60.0,1.74,0.0,0.0
13155,0.0,0.2,1.2,60.0,1.45,0.0,0.0
13156,0.0,0.0,0.8,10.0,1.19,0.0,0.0
13157,37.0,0.0,1.6,0.0,1.54,0.0,0.0
13158,115.0,0.0,0.4,0.0,2.13,0.0,0.0
13159,287.0,0.0,1.7,0.0,2.95,0.0,0.0
13160,407.0,0.0,2.0,0.0,4.15,0.0,0.0
13161,195.0,0.0,1.3,0.0,3.84,0.0,0.0
13162,225.0,0.0,1.4,0.0,3.88,8.33,0.0
